,groupid,subjects,timestart,timeend,samplestart,sampleend,duration_secs,duration_mins
86,3_035,9 4 23 20,22:52,24:30,27440,29400,98.0,1.63
87,3_037,4 23 20,24:30,24:55,29400,29900,25.0,0.42
88,3_041,9 4 23 20,24:55,25:55,29900,31100,60.0,1.0
89,3_042,31 2,25:02,26:57,30040,32340,115.0,1.92
90,3_043,13 36,25:02,25:46,30040,30920,44.0,0.73
91,3_046,26 27,25:40,26:05,30800,31300,25.0,0.42
92,3_047,28 37,25:40,26:05,30800,31300,25.0,0.42
93,3_048,7 24,25:43,28:00,30860,33600,137.0,2.28
94,3_050,9 20,25:55,28:00,31100,33600,125.0,2.08
95,3_051,4 23,25:55,28:00,31100,33600,125.0,2.08
96,3_052,26 27 28 37,26:05,26:51,31300,32220,46.0,0.77
97,3_054,13 36,26:21,26:57,31620,32340,36.0,0.6
98,3_055,31 2 13 36,26:57,27:57,32340,33540,60.0,1.0
99,3_058,14 25,19:30,20:50,23400,25000,80.0,1.33
100,3_059,14 25,23:14,23:14,28200,29400,60.0,1.0
101,3_060,21 22 5 1,19:15,20:15,21600,23100,75.0,1.25
102,3_061,21 22 5 1,21:00,23:00,25200,27600,120.0,2.0
103,3_062,21 22 5 1,24:30,26:30,29400,31800,120.0,2.0
104,3_063,21 22 5 1,26:30,28:00,31800,33600,90.0,1.5
105,3_064,29 3,18:00,20:00,21600,24000,120.0,2.0
106,3_065,29 3,22:00,24:00,26400,28800,120.0,2.0
107,3_066,29 3,26:00,28:00,31200,33600,120.0,2.0
108,3_067,12 15,19:30,21:15,23400,25500,105.0,1.75
109,3_068,12 15,22:30,25:00,27000,30000,150.0,2.5
110,3_069,12 15,25:30,26:40,30600,32000,70.0,1.17
111,3_070,24 8,20:40,23:10,24800,27800,150.0,2.5
112,3_071,24 8,23:25,25:25,28100,30500,120.0,2.0
113,3_072,26 27 28 37,20:09,22:39,24180,27180,150.0,2.5
114,3_073,26 27 28 37,22:44,25:29,27280,30580,165.0,2.75
