,subjects,timestart,timeend,samplestart,sampleend,duration_mins,duration_secs
21,['17'],1900-01-01 00:11:42,1900-01-01 00:11:47,14040,14140,0.08,5.0
22,['25'],1900-01-01 00:11:42,1900-01-01 00:13:00,14040,15600,1.3,78.0
23,"['17', '19', '20', '28']",1900-01-01 00:11:47,1900-01-01 00:12:06,14140,14520,0.32,19.0
24,"['34', '31', '35', '20']",1900-01-01 00:11:47,1900-01-01 00:12:06,14140,14520,0.32,19.0
25,"['20', '31', '34', '35']",1900-01-01 00:12:06,1900-01-01 00:16:17,14520,19540,4.18,251.0
26,"['17', '19', '28']",1900-01-01 00:12:06,1900-01-01 00:13:00,14520,15600,0.9,54.0
27,"['13', '36']",1900-01-01 00:12:09,1900-01-01 00:12:28,14580,14960,0.32,19.0
28,['22'],1900-01-01 00:12:09,1900-01-01 00:12:28,14580,14960,0.32,19.0
29,"['13', '22', '36']",1900-01-01 00:12:28,1900-01-01 00:13:17,14960,15940,0.82,49.0
30,"['17', '25', '19', '28']",1900-01-01 00:13:00,1900-01-01 00:15:03,15600,18060,2.05,123.0
31,"['12', '22', '13', '36']",1900-01-01 00:13:17,1900-01-01 00:14:46,15940,17720,1.48,89.0
32,"['1', '6', '24']",1900-01-01 00:13:48,1900-01-01 00:14:04,16560,16880,0.27,16.0
33,"['1', '3', '6', '24', '37']",1900-01-01 00:14:04,1900-01-01 00:14:15,16880,17100,0.18,11.0
34,['3'],1900-01-01 00:14:15,1900-01-01 00:14:46,17100,17720,0.52,31.0
35,"['1', '6', '24', '37']",1900-01-01 00:14:15,1900-01-01 00:14:27,17100,17340,0.2,12.0
36,"['6', '24', '37']",1900-01-01 00:14:27,1900-01-01 00:15:10,17340,18200,0.72,43.0
37,['2'],1900-01-01 00:14:27,1900-01-01 00:15:17,17340,18340,0.83,50.0
38,"['16', '18', '21']",1900-01-01 00:14:27,1900-01-01 00:15:25,17340,18500,0.97,58.0
39,['1'],1900-01-01 00:14:27,1900-01-01 00:20:00,17340,24000,5.55,333.0
40,"['3', '22']",1900-01-01 00:14:46,1900-01-01 00:16:22,17720,19640,1.6,96.0
41,['3'],1900-01-01 00:16:22,1900-01-01 00:18:44,19640,22480,2.37,142.0
42,"['12', '13', '36']",1900-01-01 00:14:46,1900-01-01 00:15:17,17720,18340,0.52,31.0
43,"['12', '36']",1900-01-01 00:15:17,1900-01-01 00:16:25,18340,19700,1.13,68.0
44,"['17', '28']",1900-01-01 00:15:03,1900-01-01 00:18:21,18060,22020,3.3,198.0
45,"['19', '25']",1900-01-01 00:15:03,1900-01-01 00:18:21,18060,22020,3.3,198.0
46,"['6', '24', '37', '38']",1900-01-01 00:15:10,1900-01-01 00:15:25,18200,18500,0.25,15.0
47,"['2', '13']",1900-01-01 00:15:17,1900-01-01 00:15:25,18340,18500,0.13,8.0
48,"['16', '21']",1900-01-01 00:15:25,1900-01-01 00:20:00,18500,24000,4.58,275.0
49,"['2', '13', '18']",1900-01-01 00:15:25,1900-01-01 00:18:35,18500,22300,3.17,190.0
50,"['24', '38']",1900-01-01 00:15:25,1900-01-01 00:16:08,18500,19360,0.72,43.0
51,['6'],1900-01-01 00:15:25,1900-01-01 00:16:08,18500,19360,0.72,43.0
52,['37'],1900-01-01 00:15:25,1900-01-01 00:18:44,18500,22480,3.32,199.0
53,"['6', '24', '38']",1900-01-01 00:16:08,1900-01-01 00:16:17,19360,19540,0.15,9.0
54,"['24', '38']",1900-01-01 00:16:17,1900-01-01 00:18:33,19540,22260,2.27,136.0
55,"['6', '34']",1900-01-01 00:16:17,1900-01-01 00:16:43,19540,20060,0.43,26.0
56,"['20', '31', '35']",1900-01-01 00:16:17,1900-01-01 00:16:43,19540,20060,0.43,26.0
57,"['12', '22', '36']",1900-01-01 00:16:25,1900-01-01 00:16:50,19700,20200,0.42,25.0
58,"['6', '34', '20', '31', '35']",1900-01-01 00:16:43,1900-01-01 00:17:12,20060,20640,0.48,29.0
59,"['12', '36']",1900-01-01 00:16:50,1900-01-01 00:20:00,20200,24000,3.17,190.0
60,['22'],1900-01-01 00:16:50,1900-01-01 00:20:00,20200,24000,3.17,190.0
61,"['6', '34']",1900-01-01 00:17:12,1900-01-01 00:19:13,20640,23060,2.02,121.0
62,"['20', '31', '35']",1900-01-01 00:17:12,1900-01-01 00:19:13,20640,23060,2.02,121.0
63,"['17', '19', '25', '28']",1900-01-01 00:18:21,1900-01-01 00:20:00,22020,24000,1.65,99.0
64,"['2', '13', '18', '24']",1900-01-01 00:18:35,1900-01-01 00:20:00,22300,24000,1.42,85.0
65,"['38', '39']",1900-01-01 00:18:38,1900-01-01 00:20:00,22360,24000,1.37,82.0
66,"['3', '37']",1900-01-01 00:18:44,1900-01-01 00:20:00,22480,24000,1.27,76.0
67,"['6', '34', '20', '31', '35']",1900-01-01 00:19:13,1900-01-01 00:20:00,23060,24000,0.78,47.0
