Group ID,Individual ID,indiv_convq
3_070,24,2.5
3_071,8,2.4
3_071,24,3.1
3_072,26,3.8
3_072,27,4.3
3_072,28,4.3
3_072,37,4.2
3_073,26,3.7
3_073,27,4.5
3_073,28,4.7
3_073,37,3.6
